planner,model,display_name,total_split_samples,selected_evaluable_samples,evaluated_samples,path_found_rate,success_rate_collision_free,start_or_goal_blocked_rate,collision_rate_among_found,path_safety_utility,mean_collision_fraction_found,mean_path_length_success,mean_path_length_ratio_success,mean_map_iou,mean_path_false_positive_fraction_found,mean_inference_time_ms,mean_planning_time_ms
astar,oracle_gt,Oracle ground truth,648,508,508,1.0,1.0,0.0,0.0,1.0,0.0,96.19212895184546,1.0,1.0,0.0,0.0,1.2863840540920524
astar,rgb_baseline,RGB-only baseline,648,508,508,0.3169291338582677,0.21850393700787402,0.6811023622047244,0.3105590062111801,0.12007874015748032,0.021403748267200262,104.52393172048292,1.0008663339312933,0.5777110863798485,0.021403748267200262,9.297921062757878,0.36262401437394204
astar,rgbd_concat_baseline,RGB-D concatenation,648,508,508,0.484251968503937,0.265748031496063,0.5098425196850394,0.45121951219512196,0.04724409448818906,0.10025638490627856,102.83565389054145,1.0000529008381065,0.5639445637709584,0.10025638490627856,9.700875393711728,0.647584253447277
astar,semantic_clean,Semantic bottleneck,648,508,508,0.42913385826771655,0.31299212598425197,0.5531496062992126,0.2706422018348624,0.19685039370078738,0.019736820820431294,107.8529522501337,1.0026916048597916,0.6499551182752156,0.019736820820431294,7.197060433329142,0.5820200796418743
dijkstra,oracle_gt,Oracle ground truth,648,508,508,1.0,1.0,0.0,0.0,1.0,0.0,96.19212895184546,1.0,1.0,0.0,0.0,9.616702756299967
dijkstra,rgb_baseline,RGB-only baseline,648,508,508,0.3169291338582677,0.21653543307086615,0.6811023622047244,0.3167701863354037,0.11614173228346458,0.01930493765274201,104.95456447310049,1.000874209694305,0.5777110863798485,0.01930493765274201,9.297921062757878,3.16666889551653
dijkstra,rgbd_concat_baseline,RGB-D concatenation,648,508,508,0.484251968503937,0.2618110236220472,0.5098425196850394,0.45934959349593496,0.039370078740157466,0.09738764230116237,102.7551014955808,1.0000536963394313,0.5639445637709584,0.09738764230116237,9.700875393711728,5.837695472704166
dijkstra,semantic_clean,Semantic bottleneck,648,508,508,0.42913385826771655,0.3051181102362205,0.5531496062992126,0.2889908256880734,0.18110236220472442,0.02060132201673227,107.88881673567013,1.002761065630367,0.6499551182752156,0.02060132201673227,7.197060433329142,5.1420183066740694
